image_path,transcript
package_ab/211021867-1_1_1/211021867-1_1_1.png,clef.G-L2 digit.3-L4 digit.8-L2 note.beamedRight1-S3 note.beamedBoth1-L3 note.beamedLeft1-S3 barline-L1 note.quarter-L4 note.beamedRight2-L5 note.beamedLeft2-L4 barline-L1 note.beamedRight2-S3 note.beamedBoth2-L3 note.beamedBoth2-S2 note.beamedBoth2-L2 note.beamedBoth2-S2 note.beamedLeft2-L3 barline-L1 note.beamedRight1-S3 note.beamedBoth2-S4 note.beamedBoth2-S3 note.beamedLeft1-L2 barline-L1
package_ab/211010665-1_9_1/211010665-1_9_1.png,clef.C-L1 metersign.C/-L3 note.half-S3 note.half-S3 barline-L1 note.half-S3 accidental.sharp-L3 note.quarter-L3 note.quarter-L2 barline-L1 note.half-S4 note.quarter-S4 note.quarter-S4 barline-L1 note.quarter-L4 note.quarter-L2 note.quarter-S5 note.beamedRight1-L5 note.beamedLeft1-S4 barline-L1 note.quarter-L4 note.eighth-L4 note.eighth-L4 note.quarter-L4
package_aa/000123662-1_1_2/000123662-1_1_2.png,clef.C-L1 accidental.flat-L4 accidental.flat-L2 accidental.flat-S3 metersign.C-L3 digit.4-S5 multirest-L3 barline-L1 rest.quarter-L3 rest.eighth-L3 rest.sixteenth-L3 note.sixteenth-S1 note.quarter-L3 note.quarter-L4 barline-L1 note.eighth-S5 note.eighth-L2 rest.eighth-L3 rest.sixteenth-L3 note.sixteenth-L2 note.quarter-L3 note.quarter-L4 barline-L1 note.eighth-S5 note.eighth-L2 rest.eighth-L3 note.eighth-L4 note.beamedRight1-S4 note.beamedLeft1-S3 note.eighth-S2 note.eighth-L5 barline-L1 note.eighth-S5 note.eighth-L2 rest.quarter-L3
package_aa/000116826-15_1_1/000116826-15_1_1.png,clef.G-L2 accidental.flat-L3 accidental.flat-S4 digit.3-L4 digit.4-L2 note.quarter-S5 note.quarter-S5 note.beamedRight1-S6 note.beamedLeft1-S5 barline-L1 accidental.sharp-L5 note.quarter-L5 accidental.natural-L5 note.quarter-L5 note.beamedRight1-L6 note.beamedLeft1-L5 barline-L1 note.quarter-S5 note.quarter-S5 note.beamedRight1-S6 note.beamedLeft1-S5 barline-L1 note.quarter-L6 note.quarter-L6 note.beamedRight1-L7 note.beamedLeft1-L6 barline-L1
package_ab/150200002-1_1_1/150200002-1_1_1.png,clef.F-L4 accidental.sharp-L4 digit.4-L4 digit.4-L2 rest.eighth-L3 note.eighth-L3 note.eighth-S4 note.eighth-L5 note.quarter-S5 rest.eighth-L3 note.eighth-S6 barline-L1 note.eighth-L6 note.eighth-S5 note.eighth-L5 note.eighth-S4 note.eighth-L4 note.eighth-L3 rest.eighth-L3
package_aa/000106066-1_1_1/000106066-1_1_1.png,clef.C-L1 accidental.flat-L4 metersign.C-L3 rest.eighth-L3 note.eighth-S6 note.eighth-S4 note.eighth-S5 note.quarter-L5 note.eighth-S4 note.eighth-L5 barline-L1 accidental.natural-L4 note.quarter-L4
package_aa/000128894-1_1_2/000128894-1_1_2.png,clef.C-L1 digit.3-L4 digit.8-L2 digit.9-S5 multirest-L3 barline-L1 rest.eighth-L3 note.eighth-S3 note.eighth-L4 barline-L1 note.quarter-S4 accidental.sharp-L3 note.eighth-L3 barline-L1 note.beamedRight2-S3 accidental.sharp-L3 note.beamedBoth2-L3 note.beamedLeft1-S3 note.eighth-L4 barline-L1 note.beamedRight1-S3 accidental.sharp-L3 note.beamedLeft1-L3 rest.eighth-L3 barline-L1 digit.3-S5 multirest-L3 barline-L1 note.eighth-S5 accidental.sharp-L5 note.eighth-L5 rest.eighth-L3 barline-L1 accidental.natural-L5 note.eighth-L5 note.eighth-S4 note.eighth-L5 barline-L1 note.quarter-S4 note.eighth-L4 barline-L1 note.quarter-S3 rest.eighth-L3 barline-L1
package_aa/100500910-1_1_2/100500910-1_1_2.png,clef.G-L2 accidental.flat-L3 accidental.flat-S4 accidental.flat-S2 metersign.C-L3 rest.half-L3 note.half-S4 note.half-L5 barline-L1 note.half-L5 note.half-L6 note.half-L5 barline-L1 note.half-S4 note.whole-L5 barline-L1 note.quarter-L5 note.quarter-S5 note.quarter-L5 note.quarter-S4 note.half-L4
package_ab/211003241-1_4_1/211003241-1_4_1.png,clef.C-L1 metersign.C/-L3 rest.quadruple_whole-L3 rest.whole-L4 note.double_whole-S3 note.whole-L2 note.half-S2 note.half-S2 note.half-L2 note.whole-L2 note.whole-S3 note.half-L3 note.half-S3 note.whole-S4 note.whole-S3 note.whole-L5
package_aa/000107995-1_1_2/000107995-1_1_2.png,clef.C-L1 accidental.flat-L4 accidental.flat-L2 metersign.C/-L3 digit.5-S5 multirest-L3 barline-L1 rest.half-L3 rest.quarter-L3 note.quarter-S2 barline-L1 note.half-L4 note.quarter-S2 note.quarter-S4 barline-L1 note.quarter-L5 note.quarter-L4 note.quarter-L6 note.quarter-S5 barline-L1 note.half-L5
