image_path,n_regions,n_notes,notes_kept_preview,reason
package_ab/211006043-1_1_2/211006043-1_1_2.png,5,7,note.whole-S4 note.half-L4 note.half-S3 note.half-L4 note.half-S3,count_mismatch
package_aa/000120839-1_1_1/000120839-1_1_1.png,24,23,note.quarter-L1 note.beamedRight1-L1 note.beamedLeft1-L1 note.quarter-S2 note.quarter-L1,count_mismatch
package_ab/220030886-1_1_1/220030886-1_1_1.png,8,10,note.whole-S4 note.half-S4 note.half-S4 note.whole-L3 note.half-S3,count_mismatch
package_aa/000120495-1_1_1/000120495-1_1_1.png,12,14,note.half-S0 note.eighth-S1 note.eighth-S2 note.half-L0 note.quarter-S0,count_mismatch
package_ab/150200721-1_1_1/150200721-1_1_1.png,13,14,note.half-L2 note.half-L2 note.half-L2 note.half-L4 note.half-S3,count_mismatch
package_aa/000107492-1_1_1/000107492-1_1_1.png,16,18,note.half-S0 note.half-S0 note.quarter-S0 note.eighth-L-1 note.beamedRight1-S0,count_mismatch
package_ab/190012521-1_1_1/190012521-1_1_1.png,21,23,note.whole-S3 note.quarter-S3 note.half-S4 note.half-L4 note.half-S3,count_mismatch
package_ab/150204814-1_1_1/150204814-1_1_1.png,10,11,note.half-S1 note.half-S3 note.half-S3 note.half-S3 note.half-L3,count_mismatch
package_aa/000135667-1_1_1/000135667-1_1_1.png,9,12,note.half-L1 note.half-S-1 note.half-L0 note.half-S-2 note.half-L-1,count_mismatch
package_ab/190005420-1_1_1/190005420-1_1_1.png,11,12,note.half-S2 note.half-L-1 note.quarter-S2 note.quarter-S0 note.quarter-L1,count_mismatch
package_aa/100198189-1_1_1/100198189-1_1_1.png,9,10,note.whole-L5 note.half-L5 note.whole-L5 note.half-S4 note.whole-L5,count_mismatch
package_aa/000107624-1_1_1/000107624-1_1_1.png,11,12,note.quarter-L7 note.half-L7 note.quarter-S5 note.half-S5 note.quarter-S4,count_mismatch
package_ab/220000525-1_1_2/220000525-1_1_2.png,7,9,note.half-L2 note.half-L3 note.half-L1 note.half-S3 note.half-L4,count_mismatch
package_aa/100030727-1_2_1/100030727-1_2_1.png,9,10,note.eighth-S3 note.eighth-S3 note.eighth-S3 note.eighth-S3 note.eighth-S4,count_mismatch
package_aa/000119191-1_1_1/000119191-1_1_1.png,21,22,note.half-S0 note.half-S1 note.quarter-S2 note.quarter-S2 note.quarter-S2,count_mismatch
package_aa/100500921-1_1_3/100500921-1_1_3.png,12,14,note.quarter-L1 note.quarter-S0 note.quarter-L1 note.quarter-S1 note.half-L2,count_mismatch
package_ab/211004987-1_3_1/211004987-1_3_1.png,6,12,note.half-S3 note.half-L4 note.half-S3 note.half-L5 note.half-L5,count_mismatch
package_ab/225001714-1_1_1/225001714-1_1_1.png,6,7,note.half-L0 note.half-L2 note.half-L2 note.half-S2 note.half-L3,count_mismatch
package_ab/190005829-1_1_1/190005829-1_1_1.png,7,8,note.half-S1 note.beamedRight1-S2 note.beamedBoth1-S2 note.beamedLeft1-L0 note.quarter-S0,count_mismatch
package_ab/212000176-1_4_1/212000176-1_4_1.png,15,16,note.quarter-L2 note.quarter-S0 note.quarter-S-1 note.half-S-2 note.beamedRight1-L3,count_mismatch
package_ab/220017951-1_1_1/220017951-1_1_1.png,10,11,note.half-S2 note.half-S1 note.quarter-S1 note.half-L2 note.half-S1,count_mismatch
package_aa/000106746-1_1_1/000106746-1_1_1.png,20,21,note.half-S3 note.half-S1 note.half-S2 note.half-L2 note.half-S1,count_mismatch
package_ab/230001909-1_1_1/230001909-1_1_1.png,16,17,note.half-L0 note.beamedRight1-L2 note.beamedBoth1-L2 note.beamedLeft1-L2 note.quarter-L0,count_mismatch
package_aa/000105384-1_1_1/000105384-1_1_1.png,22,23,note.quarter-S3 note.beamedRight1-S6 note.beamedLeft1-L6 note.beamedRight1-S5 note.beamedBoth1-L6,count_mismatch
package_ab/190007440-1_1_1/190007440-1_1_1.png,14,15,note.half-L2 note.quarter-L2 note.quarter-L2 note.half-S1 note.half-L1,count_mismatch
package_ab/225003173-1_2_1/225003173-1_2_1.png,11,12,note.quarter-S3 note.quarter-L5 note.quarter-S4 note.quarter-L6 note.quarter-S5,count_mismatch
package_ab/211006663-1_1_1/211006663-1_1_1.png,8,10,note.whole-S0 note.half-S0 note.half-S2 note.whole-L4 note.half-L4,count_mismatch
package_ab/190016621-1_1_1/190016621-1_1_1.png,6,13,note.whole-S4 note.whole-S4 note.whole-L3 note.half-S4 note.quarter-S4,count_mismatch
package_aa/000101781-1_1_1/000101781-1_1_1.png,14,15,note.half-L6 note.half-L7 note.half-L4 note.beamedRight2-S4 note.beamedBoth2-L5,count_mismatch
package_aa/000119869-4_1_1/000119869-4_1_1.png,19,20,note.quarter-L2 note.quarter-L3 note.quarter-L3 note.beamedRight1-S2 note.beamedLeft1-L2,count_mismatch
package_ab/230002227-1_4_1/230002227-1_4_1.png,5,7,note.half-L1 note.half-L2 note.half-L2 note.half-S3 note.half-L4,count_mismatch
package_ab/230004428-1_1_1/230004428-1_1_1.png,10,11,note.quarter-L2 note.quarter-L2 note.quarter-S1 note.quarter-S1 note.half-L1,count_mismatch
package_aa/000109252-1_1_1/000109252-1_1_1.png,7,9,note.whole-L4 note.half-L4 note.half-S4 note.half-S3 note.half-S4,count_mismatch
package_aa/000104092-1_1_1/000104092-1_1_1.png,4,5,note.whole-L5 note.whole-S5 note.whole-L5 note.half-L5 note.quarter-L5,count_mismatch
package_ab/180000201-1_1_1/180000201-1_1_1.png,15,13,note.eighth-L2 note.beamedRight1-L4 note.beamedBoth2-S3 note.beamedLeft2-L3 note.beamedRight1-S2,count_mismatch
package_aa/000106882-1_1_1/000106882-1_1_1.png,14,15,note.half-S0 note.half-L1 note.quarter-S1 note.quarter-S0 note.half-L2,count_mismatch
package_aa/000141854-1_1_1/000141854-1_1_1.png,12,13,note.half-L3 note.half-S3 note.half-L4 note.half-S4 note.quarter-L4,count_mismatch
package_ab/211005900-1_1_1/211005900-1_1_1.png,10,11,note.whole-L3 note.half-L3 note.half-S3 note.whole-L4 note.whole-L3,count_mismatch
