image_path,transcript
package_ab/150201440-1_1_1/150201440-1_1_1.png,clef.G-L2 accidental.sharp-L5 digit.4-L4 digit.4-L2 note.beamedRight2-L4 note.beamedBoth2-L3 note.beamedBoth2-S3 note.beamedLeft2-S2 barline-L1 note.quarter-L2 note.half-S5 note.beamedRight1-L4 note.beamedLeft1-L3 barline-L1 note.quarter-L2 note.half-S5 note.beamedRight1-S4 note.beamedLeft1-S3 barline-L1 note.quarter-L4
package_ab/225003852-1_1_1/225003852-1_1_1.png,clef.G-L2 digit.3-L4 digit.4-L2 note.quarter-L0 note.quarter-S0 note.quarter-L1 barline-L1 note.half-S1 note.quarter-L1 slur.start-L1 barline-L1 slur.end-L1 note.quarter-L1 note.quarter-S1 note.quarter-L2 barline-L1 note.half-S2 note.quarter-L2 barline-L1 note.quarter-S3 note.quarter-L3 note.quarter-S2 barline-L1
package_aa/000118046-1_1_1/000118046-1_1_1.png,clef.G-L2 metersign.C/-L3 note.half-S3 note.quarter-L3 note.quarter-S2 barline-L1 note.half-S4 note.quarter-L4 note.quarter-S3 barline-L1 note.quarter-L3 accidental.sharp-L2 note.quarter-L2 note.quarter-S2 note.beamedRight1-L3 note.beamedLeft1-S3 barline-L1 note.half-S3 note.half-L3 barline-L1
package_aa/000110343-1_5_1/000110343-1_5_1.png,clef.G-L2 accidental.sharp-L5 accidental.sharp-S3 accidental.sharp-S5 accidental.sharp-L4 metersign.C/-L3 note.quarter-S4 note.quarter-L1 note.quarter-L2 note.quarter-L1 barline-L1 note.quarter-S1 note.quarter-L2 note.half-S2 barline-L1 note.quarter-L2 note.quarter-S4 note.quarter-S5 note.quarter-S4 barline-L1 note.quarter-L5 note.quarter-S5 note.half-L6 barline-L1
package_aa/110002270-1_1_1/110002270-1_1_1.png,clef.C-L1 accidental.flat-L4 metersign.C-L3 note.whole-L4 barline-L1 note.half-S4 note.half-L5 barline-L1 note.quarter-L5 note.eighth-S4 accidental.natural-L4 note.eighth-L4 note.half-S4 slur.start-S4 barline-L1 slur.end-S4 note.quarter-S4 note.eighth-L4 note.eighth-S3 note.half-L4 slur.start-L4 barline-L1 slur.end-L4 note.quarter-L4 note.eighth-S3 note.eighth-L4 note.quarter-S3
package_aa/000110163-1_1_1/000110163-1_1_1.png,clef.G-L2 accidental.sharp-L5 accidental.sharp-S3 accidental.sharp-S5 digit.6-L4 digit.8-L2 note.eighth-S4 barline-L1 note.quarter-S3 note.eighth-L3 note.quarter-S2 note.eighth-L2 barline-L1 note.quarter-S2 note.eighth-L3 note.quarter-L1 note.eighth-S3 barline-L1 note.quarter-L3 note.eighth-S4 note.quarter-S4 accidental.sharp-L4 note.eighth-L4 barline-L1 note.quarter-S4 rest.eighth-L3
package_ab/201009263-1_22_2/201009263-1_22_2.png,clef.C-L4 accidental.sharp-L2 accidental.sharp-L4 accidental.sharp-S2 digit.3-L4 digit.4-L2 digit.1-S5 digit.6-S5 multirest-L3 barline-L1 note.quarter-L5 note.eighth-L4 note.eighth-S4 note.eighth-L5 note.eighth-S2 barline-L1 note.half-L3 rest.eighth-L3 note.eighth-L3 barline-L1 note.eighth-S3 note.eighth-L3 note.beamedRight1-S2 note.beamedBoth1-S5 note.beamedLeft1-L5 note.eighth-S4 barline-L1 note.half-L4
package_aa/000108467-1_1_1/000108467-1_1_1.png,clef.F-L4 accidental.flat-L2 accidental.flat-S3 accidental.flat-S1 digit.2-L4 digit.4-L2 digit.1-S5 multirest-L3 barline-L1 rest.thirty_second-L3 note.beamedRight3-S3 note.beamedBoth3-S4 note.beamedLeft3-S5 note.thirty_second-L7 clef.G-L2 note.beamedRight3-L2 note.beamedBoth3-L3 note.beamedLeft3-S4 note.beamedRight1-S5 note.beamedBoth3-L5 note.beamedBoth3-S4 note.beamedBoth3-L4 note.beamedLeft3-S4 barline-L1
package_aa/000123012-2_1_1/000123012-2_1_1.png,clef.F-L4 metersign.C-L3 digit.3-S5 multirest-L3 barline-L1 rest.half-L3 rest.quarter-L3 rest.eighth-L3 note.eighth-L5 barline-L1 note.eighth-L5 note.eighth-L5 note.eighth-L5 note.eighth-L5 note.beamedRight2-S5 accidental.sharp-S4 note.beamedLeft2-S4 note.eighth-L5 note.eighth-L5 barline-L1 note.eighth-S3 note.beamedRight2-S2 note.beamedLeft2-L3 note.eighth-S3 note.eighth-S3 note.eighth-S3 note.eighth-L5 rest.eighth-L3 note.eighth-L6 barline-L1 note.eighth-S4 note.beamedRight2-S3 note.beamedLeft2-L4 note.eighth-S4 note.eighth-S4 note.eighth-S4 note.eighth-S2 rest.quarter-L3 barline-L1
package_aa/000126079-1_1_2/000126079-1_1_2.png,clef.F-L4 accidental.flat-L2 accidental.flat-S3 accidental.flat-S1 metersign.C-L3 digit.5-S5 multirest-L3 barline-L1 rest.quarter-L3 rest.eighth-L3 note.eighth-S5 accidental.flat-S6 note.quarter-S6 rest.eighth-L3 accidental.natural-S6 note.eighth-S6 barline-L1 note.eighth-S5 note.eighth-S5 rest.eighth-L3 note.sixteenth-L4 note.sixteenth-L4 note.quarter-L4 note.eighth-L4 note.eighth-L4 barline-L1 note.quarter-S4 rest.eighth-L3 note.eighth-L6 note.eighth-L6 note.eighth-S4 rest.sixteenth-L3
