image_path,transcript
package_aa/100017312-1_1_1/100017312-1_1_1.png,clef.C-L1 accidental.flat-L4 metersign.C-L3 rest.quarter-L3 note.quarter-S4 note.quarter-S4 note.quarter-S4 barline-L1 note.half-L5 note.quarter-L5 note.quarter-L5 barline-L1 note.half-S4 note.half-S4 barline-L1 rest.half-L3 note.quarter-S4 note.quarter-S4 barline-L1 note.quarter-S4 note.quarter-S4 note.quarter-S4 note.quarter-L5 barline-L1 accidental.natural-L4 note.half-L4
package_aa/000112457-1_1_1/000112457-1_1_1.png,clef.G-L2 accidental.sharp-L5 digit.3-L4 digit.8-L2 note.eighth-S0 barline-L1 note.quarter-L2 note.eighth-L3 barline-L1 note.beamedRight1-L4 note.beamedBoth1-L4 note.beamedLeft1-L4 barline-L1 note.quarter-L4 note.eighth-L3 barline-L1 note.quarter-L4 accidental.flat-S4 note.eighth-S4 barline-L1 note.quarter-S4 note.eighth-S3 barline-L1
package_ab/200044569-1_16_1/200044569-1_16_1.png,clef.G-L2 accidental.sharp-L5 accidental.sharp-S3 accidental.sharp-S5 digit.3-L4 digit.8-L2 note.quarter-S4 note.beamedRight3-L4 note.beamedBoth3-S3 note.beamedBoth3-L3 note.beamedLeft3-S2 barline-L1 note.beamedRight1-L5 note.beamedLeft1-S4 note.eighth-L3 slur.start-L3 barline-L1 slur.end-L3 note.beamedRight2-L3 note.beamedBoth2-L4 note.beamedBoth2-S3 note.beamedBoth2-S4 note.beamedBoth2-L3 note.beamedLeft2-L4 barline-L1
package_ab/220020061-1_1_1/220020061-1_1_1.png,clef.G-L2 accidental.sharp-L5 accidental.sharp-S3 metersign.C-L3 rest.quarter-L3 note.beamedRight1-S1 note.beamedLeft1-L2 note.quarter-S2 note.beamedRight1-L3 note.beamedLeft1-S3 barline-L1 note.quarter-L4 note.quarter-L3 note.quarter-L3 rest.quarter-L3 barline-L1 digit.3-S5 multirest-L3
package_ab/212003422-1_9_1/212003422-1_9_1.png,clef.C-L3 accidental.flat-S2 digit.3-L4 digit.4-L2 note.quarter-L2 note.quarter-S3 note.quarter-L4 barline-L1 note.beamedRight2-S4 note.beamedBoth2-L4 note.beamedLeft1-S3 note.half-L4 barline-L1 note.quarter-L2 note.quarter-L4 note.quarter-S4 barline-L1 note.beamedRight2-L5 note.beamedBoth2-S4 note.beamedLeft1-L4 note.half-S4 barline-L1
package_ab/190026535-1_1_1/190026535-1_1_1.png,clef.C-L1 metersign.C-L3 note.eighth-S6 barline-L1 note.quarter-L8 note.quarter-S7 note.quarter-L8 rest.eighth-L3 note.eighth-S6 barline-L1 note.beamedRight1-L7 note.beamedBoth2-S6 note.beamedLeft2-L7 note.beamedRight2-L6 note.beamedBoth2-L7 note.beamedBoth2-S6 note.beamedLeft2-L6 note.beamedRight1-S6 note.beamedBoth2-L6 note.beamedLeft2-S6 note.beamedRight1-S5 note.beamedLeft1-S6 barline-L1 note.beamedRight1-L7 note.beamedBoth1-S6 note.beamedBoth1-L6 note.beamedLeft1-S5 note.quarter-L5 rest.eighth-L3
package_ab/225001873-1_4_2/225001873-1_4_2.png,clef.F-L4 accidental.sharp-L4 accidental.sharp-S2 metersign.C-L3 digit.7-S5 multirest-L3 barline-L1 note.quarter-S6 note.quarter-L5 note.quarter-L3 rest.eighth-L3 note.eighth-L4 barline-L1 note.beamedRight1-S4 note.beamedLeft1-L5 note.beamedRight1-S5 note.beamedLeft1-L6 note.eighth-S6 note.eighth-L3 rest.quarter-L3 barline-L1
package_ab/201008572-1_1_2/201008572-1_1_2.png,clef.C-L1 accidental.sharp-S2 accidental.sharp-L1 metersign.C-L3 rest.quarter-L3 barline-L1 digit.2-S5 digit.0-S5 multirest-L3 barline-L1 rest.half-L3 rest.quarter-L3 note.quarter-S3 barline-L1 note.whole-L5 slur.start-L5 barline-L1 slur.end-L5 note.half-L5 note.beamedRight1-S4 note.beamedLeft1-L5 note.beamedRight1-S5 note.beamedLeft1-L6 barline-L1 note.half-S6 note.quarter-S6 note.quarter-S6 barline-L1 note.quarter-S6 note.quarter-L6
package_ab/211010700-1_2_1/211010700-1_2_1.png,clef.G-L2 digit.3-L4 digit.4-L2 note.quarter-L2 barline-L1 note.half-S3 note.quarter-L4 barline-L1 note.quarter-S4 note.quarter-L5 note.quarter-S5 barline-L1 note.quarter-L6 note.quarter-S6 note.quarter-L7 barline-L1 note.quarter-S7 note.quarter-S5 accidental.sharp-S7 note.quarter-S7 barline-L1 note.quarter-L8
package_ab/190007841-1_1_1/190007841-1_1_1.png,clef.G-L2 accidental.sharp-L5 accidental.sharp-S3 metersign.C-L3 note.half-L3 note.quarter-L4 note.beamedRight1-S3 note.beamedLeft1-L3 barline-L1 note.half-L3 accidental.sharp-S2 note.quarter-S2 rest.quarter-L3 barline-L1
package_ab/201005484-1_3_1/201005484-1_3_1.png,clef.G-L2 accidental.sharp-L5 accidental.sharp-S3 metersign.C-L3 rest.eighth-L3 note.beamedRight2-S0 note.beamedLeft2-L1 note.beamedRight2-S1 note.beamedBoth2-L1 note.beamedBoth2-S1 note.beamedLeft2-S0 note.beamedRight1-S2 note.beamedBoth2-S1 note.beamedLeft2-L2 note.beamedRight2-S2 note.beamedBoth2-L2 note.beamedBoth2-S2 note.beamedLeft2-S1 barline-L1 note.beamedRight1-L3 note.beamedBoth2-L3 note.beamedLeft2-S2 note.beamedRight2-L2 note.beamedBoth2-S2 note.beamedBoth2-L3 note.beamedLeft2-S3 note.beamedRight1-L4 note.beamedBoth2-S1 note.beamedLeft2-L2 note.beamedRight1-S2 note.beamedLeft1-L-1 barline-L1 note.quarter-S0 rest.quarter-L3 rest.half-L3 barline-L1
package_aa/000118243-1_1_1/000118243-1_1_1.png,clef.G-L2 accidental.sharp-L5 metersign.C/-L3 note.quarter-S0 barline-L1 note.quarter-L2 note.beamedRight1-L2 note.beamedBoth1-L2 note.beamedBoth1-L2 note.beamedBoth1-L3 note.beamedBoth1-S2 note.beamedLeft1-S3 barline-L1 note.quarter-L3 note.beamedRight1-L3 note.beamedBoth1-L3 note.beamedBoth1-L3 note.beamedBoth1-L4 note.beamedBoth1-S3 note.beamedLeft1-S4 barline-L1 note.beamedRight1-L4 note.beamedBoth1-S5 note.beamedBoth1-L5 note.beamedBoth1-S4 note.beamedBoth1-L4 note.beamedBoth1-S3 note.beamedBoth1-L3 note.beamedLeft1-S2 barline-L1
package_aa/110002741-1_5_2/110002741-1_5_2.png,clef.C-L4 digit.2-L4 digit.4-L2 rest.quarter-L3 rest.eighth-L3 note.eighth-S2 barline-L1 note.eighth-L4 note.beamedRight2-L5 note.beamedLeft2-S4 note.eighth-L4 note.eighth-L4 barline-L1 note.beamedRight2-L4 note.beamedLeft2-S3 note.eighth-L4 rest.eighth-L3 rest.sixteenth-L3 note.sixteenth-L6 barline-L1
package_aa/000100196-1_2_1/000100196-1_2_1.png,clef.C-L1 accidental.sharp-S2 accidental.sharp-L1 accidental.sharp-L3 digit.2-L4 digit.4-L2 note.quarter-S3 note.quarter-L2 barline-L1 rest.sixteenth-L3 note.beamedRight2-S3 note.beamedBoth2-L3 note.beamedLeft2-S3 note.beamedRight2-L4 note.beamedBoth2-S3 note.beamedBoth2-L3 note.beamedLeft2-S3 barline-L1 note.quarter-S4 note.quarter-S3 barline-L1 rest.sixteenth-L3 note.beamedRight2-S4 note.beamedBoth2-L4 note.beamedLeft2-S4 note.beamedRight2-L5 note.beamedBoth2-S4 note.beamedBoth2-L4 note.beamedLeft2-S4 barline-L1
package_ab/190015977-1_1_1/190015977-1_1_1.png,clef.G-L2 accidental.sharp-L5 accidental.sharp-S3 accidental.sharp-S5 metersign.C-L3 note.quarter-S4 note.beamedRight1-S3 note.beamedLeft1-L4 note.beamedRight1-S4 note.beamedBoth1-L5 note.beamedBoth1-S5 note.beamedLeft1-L6 barline-L1 note.quarter-L3 note.half-L3 note.quarter-S3 barline-L1 note.beamedRight2-S4 note.beamedBoth2-L4 note.beamedBoth2-S3 note.beamedLeft2-L4 note.half-S1 note.quarter-L2 barline-L1 note.eighth-S2
package_aa/100500162-1_2_1/100500162-1_2_1.png,clef.C-L1 accidental.flat-L4 metersign.C-L3 note.quarter-L5 note.quarter-S4 note.quarter-L4 rest.quarter-L3 barline-L1 note.quarter-L5 note.quarter-S4 accidental.natural-L4 note.beamedRight1-L4 note.beamedBoth1-L5 note.beamedBoth1-S4 accidental.flat-L4 note.beamedLeft1-L4 barline-L1 note.quarter-S3 note.quarter-L3 rest.half-L3 barline-L1
package_aa/100016621-1_1_1/100016621-1_1_1.png,clef.C-L1 metersign.C-L3 digit.2-S5 digit.4-S5 multirest-L3 barline-L1 rest.quarter-L3 rest.eighth-L3 note.eighth-S3 note.eighth-S3 note.eighth-S3 note.eighth-S3 note.eighth-L4 barline-L1 accidental.sharp-S4 note.eighth-S4 accidental.natural-S4 note.eighth-S4 note.eighth-L5 note.eighth-S5 note.eighth-S5 note.eighth-S3 rest.eighth-L3 note.eighth-S3 barline-L1 note.eighth-S3 note.eighth-S3
package_ab/160000440-1_2_1/160000440-1_2_1.png,clef.C-L3 accidental.flat-S2 digit.3-L4 digit.4-L2 rest.quarter-L3 barline-L1 note.beamedRight1-L2 note.beamedBoth1-L2 note.beamedBoth1-L2 note.beamedBoth1-L2 note.beamedBoth1-S2 note.beamedLeft1-S2 barline-L1 note.quarter-L3 note.quarter-S3 rest.quarter-L3 barline-L1 note.quarter-S5 note.beamedRight1-S5 note.beamedBoth2-L6 note.beamedLeft2-S5 note.beamedRight2-S5 note.beamedBoth2-L5 note.beamedBoth2-S4 note.beamedLeft2-L5 barline-L1 note.quarter-L5 note.beamedRight1-S4 note.beamedBoth1-S5 note.beamedBoth1-S5 note.beamedLeft1-S5 barline-L1
package_ab/190023406-1_1_1/190023406-1_1_1.png,clef.C-L1 accidental.flat-L4 accidental.flat-L2 metersign.C-L3 note.quarter-L5 barline-L1 note.eighth-S5 rest.eighth-L3 note.eighth-L5 rest.eighth-L3 note.quarter-S4 rest.eighth-L3 note.eighth-S4 barline-L1 note.beamedRight2-L4 note.beamedLeft2-L3 note.beamedRight2-S5 note.beamedLeft2-S4 note.beamedRight2-L4 note.beamedLeft2-L3 note.beamedRight2-S3 accidental.sharp-S2 note.beamedLeft2-S2 note.sixteenth-L3 accidental.natural-S2 note.sixteenth-S2 note.eighth-L3 note.quarter-S6 barline-L1
package_aa/000110982-1_1_1/000110982-1_1_1.png,clef.G-L2 digit.2-L4 digit.4-L2 note.eighth-L2 barline-L1 note.eighth-S3 rest.eighth-L3 rest.eighth-L3 note.eighth-L2 barline-L1 note.eighth-L4 rest.eighth-L3 rest.eighth-L3 note.eighth-L5 barline-L1 note.beamedRight1-S4 note.beamedLeft1-S5 note.beamedRight2-L5 note.beamedBoth2-S4 note.beamedBoth2-L4 note.beamedLeft2-S3 barline-L1 note.beamedRight2-L3 note.beamedBoth2-S3 note.beamedBoth2-L4 note.beamedLeft2-S4 note.eighth-L4 rest.eighth-L3 barline-L1
package_aa/110002394-5_1_1/110002394-5_1_1.png,clef.C-L1 metersign.C-L3 accidental.sharp-L3 note.quarter-L3 note.eighth-S3 note.eighth-S3 note.quarter-L4 note.quarter-S3 barline-L1 accidental.sharp-L3 note.eighth-L3 note.eighth-L4 note.quarter-S5 rest.eighth-L3 note.eighth-L5 note.eighth-S4 note.eighth-L4 barline-L1 note.eighth-S3 note.eighth-S3 note.quarter-L5 rest.eighth-L3 note.eighth-S4
package_aa/000109871-1_1_1/000109871-1_1_1.png,clef.C-L1 accidental.sharp-S2 digit.3-L4 digit.4-L2 note.quarter-L3 note.eighth-L3 note.eighth-L4 note.eighth-L5 note.eighth-L4 barline-L1 note.quarter-L4 note.half-S3 barline-L1 note.quarter-S3 note.eighth-S3 note.eighth-S4 note.eighth-S5 note.eighth-S4 barline-L1 note.quarter-S4 note.half-L4 barline-L1
package_ab/201008693-1_1_1/201008693-1_1_1.png,clef.G-L2 accidental.flat-L3 accidental.flat-S4 digit.2-L4 digit.4-L2 note.beamedRight1-S1 note.beamedBoth2-S1 note.beamedLeft2-S1 note.beamedRight1-S2 note.beamedLeft1-S1 barline-L1 note.beamedRight1-S2 note.beamedBoth2-S2 note.beamedLeft2-S2 note.beamedRight1-S3 note.beamedLeft1-S2 barline-L1 note.beamedRight1-S3 note.beamedBoth2-S3 note.beamedLeft2-S3 note.beamedRight1-L5 note.beamedLeft1-S3 barline-L1 fermata.above-S6 note.half-L5 barline-L1
package_ab/190024091-1_1_1/190024091-1_1_1.png,clef.G-L2 accidental.sharp-L5 accidental.sharp-S3 metersign.C-L3 note.half-L4 note.half-S2 barline-L1 note.beamedRight1-L3 note.beamedLeft1-S6 note.half-S6 note.quarter-S3 barline-L1 note.beamedRight1-S4 note.beamedLeft1-L4 note.beamedRight1-L5 note.beamedLeft1-L4 note.half-S2 barline-L1
package_ab/190012168-1_1_1/190012168-1_1_1.png,clef.G-L2 accidental.flat-L3 accidental.flat-S4 metersign.C-L3 note.beamedRight1-S1 slur.start-S1 slur.end-S1 note.beamedLeft1-S1 slur.start-S1 slur.end-S1 note.beamedRight2-S1 note.beamedBoth2-L3 note.beamedBoth2-L3 note.beamedLeft2-L4 note.beamedRight2-S1 note.beamedBoth2-S3 note.beamedBoth2-S3 note.beamedLeft2-S4 note.quarter-S4 barline-L1 note.beamedRight1-S1 note.beamedLeft1-S1 note.beamedRight2-S1 note.beamedBoth2-S3 note.beamedBoth2-S3 note.beamedLeft2-S4
package_ab/210017839-1_29_1/210017839-1_29_1.png,clef.G-L2 accidental.flat-L3 digit.3-L4 digit.8-L2 note.quarter-L5 note.eighth-S5 barline-L1 note.quarter-L6 note.eighth-S6 barline-L1 note.quarter-L7 note.eighth-S7 barline-L1 note.beamedRight2-L7 note.beamedBoth2-S6 note.beamedLeft1-S6 rest.eighth-L3 barline-L1
package_ab/190014860-1_1_1/190014860-1_1_1.png,clef.G-L2 metersign.C/-L3 note.eighth-S3 note.eighth-L2 barline-L1 note.quarter-S3 note.quarter-L4 note.quarter-S4 note.quarter-L5 barline-L1 note.half-S5 note.quarter-S5 note.quarter-L2 barline-L1 note.quarter-S2 note.quarter-L3 note.quarter-S3 note.eighth-S3 note.eighth-L4 barline-L1 note.quarter-S4 note.eighth-S4 note.eighth-L5 note.quarter-S4 note.quarter-L4 barline-L1 note.quarter-S3 note.quarter-L3 note.half-S2 barline-L1
package_ab/210022069-1_10_1/210022069-1_10_1.png,clef.G-L2 accidental.flat-L3 accidental.flat-S4 metersign.C/-L3 note.quarter-L4 barline-L1 note.quarter-L4 note.half-S6 note.quarter-S5 barline-L1 accidental.sharp-L5 note.quarter-L5 note.half-L6 accidental.natural-L5 note.quarter-L5 barline-L1 note.quarter-S5 note.half-S7
package_aa/000117092-1_1_2/000117092-1_1_2.png,clef.C-L1 accidental.sharp-S2 accidental.sharp-L1 accidental.sharp-L3 digit.2-L4 digit.4-L2 digit.1-S5 digit.1-S5 multirest-L3 barline-L1 rest.quarter-L3 note.eighth-S3 note.eighth-L3 barline-L1 note.eighth-S3 note.eighth-S4 note.eighth-L4 accidental.sharp-S3 note.eighth-S3 barline-L1 note.eighth-L4 note.eighth-L5 note.eighth-S4 note.eighth-S5 barline-L1 note.eighth-S3 note.eighth-S4 note.eighth-L2 note.eighth-L3 barline-L1 note.quarter-S3 rest.quarter-L3 barline-L1
package_aa/110002948-1_59_1/110002948-1_59_1.png,clef.C-L1 metersign.C-L3 note.eighth-S4 note.eighth-S4 note.eighth-S4 note.sixteenth-L3 note.sixteenth-S2 note.eighth-L3 note.sixteenth-L3 note.sixteenth-L3 note.eighth-S3 accidental.flat-L4 note.eighth-L4 barline-L1
